week_start_date,revenue_usd
2025-11-03,2087.42
2025-11-10,2143.18
2025-11-17,2298.55
2025-11-24,2476.91
2025-12-01,2612.34
2025-12-08,2789.07
2025-12-15,3142.66
2025-12-22,3587.21
2025-12-29,3018.49
2026-01-05,3274.83
2026-01-12,3491.27
2026-01-19,3702.55
2026-01-26,3948.12
2026-02-02,4216.74
2026-02-09,4523.39
2026-02-16,4731.05
2026-02-23,4986.62
2026-03-02,5247.81
2026-03-09,5512.46
2026-03-16,5829.18
2026-03-23,6147.74
2026-03-30,6489.33
2026-04-06,6852.01
2026-04-13,7218.59
2026-04-20,7596.24
2026-04-27,8021.87
